"turtle.id","radio.id","sex","cl","pl","wt","year","month","season","dx","dy","dist","dt","dailyDist"
"54","54_173.641","M",118.9,100.5,200,"2020","July","2020 Wet Season",0.254456769849639,-77.5845495285466,77.5849668028235,294960,22.7262718055464
"56","56_173.604","F",131.1,115.1,250,"2020","July","2020 Wet Season",-6.99901470559416,-6.51733019948006,9.56356626882347,295140,2.79966160339618
"58","58_173.514","J",97.7,84.5,144,"2020","July","2020 Wet Season",-0.146681089070626,-7.75520437350497,7.75659140452309,295080,2.27114510421172
"61","61_172.215","F",131.3,113.8,255,"2020","July","2020 Wet Season",3.3266958562308,-5.60433724243194,6.51732316574626,294240,1.91373274034963
"32","32_172.454","J",77.1,63.9,77,"2020","July","2020 Wet Season",28.6274537373101,-30.4651318592951,41.8049682057775,297060,12.1589889348252
"62","62_172.325","J",93.5,89.2,111,"2020","July","2020 Wet Season",12.2667855153559,13.0673375343904,17.9228718992642,293580,5.274664936632
"63","63_172.043","F",131.4,117.1,287,"2020","July","2020 Wet Season",12.2667855153559,13.0673375343904,17.9228718992642,292860,5.28763276683884
"24","24_172.254","F",127,111.7,261,"2020","July","2020 Wet Season",3.3058718580869,-6.71219564927742,7.48213600359347,308400,2.09616261579272
"23","23_172.476","J",89,74.7,87,"2020","July","2020 Wet Season",-3.67228263011202,-12.1216642521322,12.6657176645006,309060,3.54079468780447
"18","18_173.405","F",118.7,102.7,205,"2020","July","2020 Wet Season",1.72092726331903,-0.0325389932841063,1.72123485664178,309480,0.480530863428493
"37","37_173.415","F",127.7,108.8,261,"2020","July","2020 Wet Season",3.3058718580869,-6.71219564927742,7.48213600359347,305400,2.11675360416004
"25","25_173.435","F",141.2,116.6,329,"2020","July","2020 Wet Season",-8.47927803493803,5.7017373489216,10.2180215692604,308700,2.85985443337899
"54","54_173.641","M",118.9,100.5,200,"2020","July","2020 Wet Season",6.66390667029191,-11.208825353533,13.040146391677,309240,3.64334707101568
"56","56_173.604","F",131.1,115.1,250,"2020","July","2020 Wet Season",22.4562114193686,6.22501778695732,23.3030529707873,311640,6.46060767769227
"58","58_173.514","J",97.7,84.5,144,"2020","July","2020 Wet Season",8.66765785665484,4.26919387979433,9.66200336903811,311460,2.6802706321354
"61","61_172.215","F",131.3,113.8,255,"2020","July","2020 Wet Season",-5.08949521486647,3.4211146896705,6.13245360863236,313440,1.69041600237952
"63","63_172.043","F",131.4,117.1,287,"2020","July","2020 Wet Season",-8.75148309761425,-8.70070729125291,12.3406144002594,312780,3.40887871405592
"62","62_172.325","J",93.5,89.2,111,"2020","July","2020 Wet Season",-13.5265628299676,11.3387286197394,17.6503447191594,313800,4.8597507448546
"32","32_172.454","J",77.1,63.9,77,"2020","July","2020 Wet Season",-1.81535877502756,-5.50707751419395,5.79857139556031,307440,1.62957509945489
"24","24_172.254","F",127,111.7,261,"2020","July","2020 Wet Season",1.82566592126386,5.50688982661813,5.80162835922593,296520,1.69047851826899
"37","37_173.415","F",127.7,108.8,261,"2020","July","2020 Wet Season",1.82566592126386,5.50688982661813,5.80162835922593,296460,1.69082065114053
"23","23_172.476","J",89,74.7,87,"2020","July","2020 Wet Season",-4.81731540965848,17.8235940649174,18.4631263102188,296220,5.38523432989974
"18","18_173.405","F",118.7,102.7,205,"2020","July","2020 Wet Season",-1.78377053630538,-3.29111797362566,3.74343356325621,296820,1.08965925431351
"25","25_173.435","F",141.2,116.6,329,"2020","July","2020 Wet Season",3.32680478418479,-5.60431372374296,6.51735854362858,297720,1.89137370069028
"54","54_173.641","M",118.9,100.5,200,"2020","July","2020 Wet Season",3.32680478418479,-5.60431372374296,6.51735854362858,296280,1.90056628246763
"56","56_173.604","F",131.1,115.1,250,"2020","July","2020 Wet Season",-8.58389639819507,0.162328917533159,8.58543115122436,296220,2.50415654400711
"58","58_173.514","J",97.7,84.5,144,"2020","July","2020 Wet Season",-8.58384014497278,0.162351470440626,8.5853753345093,296100,2.50515511280514
"32","32_172.454","J",77.1,63.9,77,"2020","July","2020 Wet Season",-55.7957430459792,47.6033319677226,73.3433170539902,298080,21.2589324794175
"61","61_172.215","F",131.3,113.8,255,"2020","July","2020 Wet Season",0,0,0,294600,0
"63","63_172.043","F",131.4,117.1,287,"2020","July","2020 Wet Season",-3.47338391188532,-2.1508566532284,4.08541064546523,294840,1.19718993273706
"62","62_172.325","J",93.5,89.2,111,"2020","July","2020 Wet Season",1.30169582046801,-22.1902925642207,22.2284389036822,293640,6.54044789973486
"37","37_173.415","F",127.7,108.8,261,"2020","July","2020 Wet Season",5.15248506428907,-0.0974184833467007,5.1534059318687,309300,1.43955471229698
"24","24_172.254","F",127,111.7,261,"2020","July","2020 Wet Season",5.15248506428907,-0.0974184833467007,5.1534059318687,309240,1.43983402054539
"23","23_172.476","J",89,74.7,87,"2020","July","2020 Wet Season",8.4895980397705,-5.70192981278524,10.2266944056623,309240,2.8572836523387
"18","18_173.405","F",118.7,102.7,205,"2020","July","2020 Wet Season",5.52953208319377,19.8445198582485,20.6005022624083,311580,5.71244430153436
"30","30_172.33","J",105.4,86.4,132,"2020","July","2020 Wet Season",5.15247789135901,-0.097421461250633,5.15339881651475,308280,1.44431574460515
"25","25_173.435","F",141.2,116.6,329,"2020","July","2020 Wet Season",10.4096839054255,5.34458264429122,11.7015418920984,310740,3.25356638822585
"54","54_173.641","M",118.9,100.5,200,"2020","July","2020 Wet Season",0,0,0,308460,0
"56","56_173.604","F",131.1,115.1,250,"2020","July","2020 Wet Season",-1.99327019770863,-14.3699742327444,14.5075595994231,309420,4.0509765024567
"58","58_173.514","J",97.7,84.5,144,"2020","July","2020 Wet Season",1.66867659782292,-2.24812638945878,2.79974174721577,309660,0.781171888391923
"61","61_172.215","F",131.3,113.8,255,"2020","July","2020 Wet Season",-1.8572732625762,-7.72284957254305,7.94303905895023,309060,2.22053508928137
"32","32_172.454","J",77.1,63.9,77,"2020","July","2020 Wet Season",8.54189960006624,-2.37816175352782,8.86677518061411,309600,2.47444888761324
"62","62_172.325","J",93.5,89.2,111,"2020","July","2020 Wet Season",8.54189960006624,-2.37816175352782,8.86677518061411,309600,2.47444888761324
"63","63_172.043","F",131.4,117.1,287,"2020","July","2020 Wet Season",8.54189960006624,-2.37816175352782,8.86677518061411,308760,2.48118077343263
"24","24_172.254","F",127,111.7,261,"2020","July","2020 Wet Season",-10.3049702908029,0.194838683586568,10.3068120583889,605400,1.47094245431914
"37","37_173.415","F",127.7,108.8,261,"2020","July","2020 Wet Season",6.75837891286938,-5.66918627545238,8.82130140941205,604260,1.26131208713666
"23","23_172.476","J",89,74.7,87,"2020","July","2020 Wet Season",10.2002282659523,-5.73426724923775,11.7015587663872,605280,1.67032559710523
"30","30_172.33","J",105.4,86.4,132,"2020","July","2020 Wet Season",10.3677952549187,3.12881888868287,10.8296207729585,606120,1.54371945288658
"54","54_173.641","M",118.9,100.5,200,"2020","July","2020 Wet Season",3.26720191794448,-99.8071295167319,99.8605913798948,622380,13.8628411825941
"18","18_173.405","F",118.7,102.7,205,"2020","July","2020 Wet Season",-1.76282067684224,-2.18323251325637,2.80607215617173,605940,0.400113269124397
"25","25_173.435","F",141.2,116.6,329,"2020","July","2020 Wet Season",-1.76282067684224,-2.18323251325637,2.80607215617173,604860,0.400827686230264
"56","56_173.604","F",131.1,115.1,250,"2020","July","2020 Wet Season",0,0,0,604620,0
"58","58_173.514","J",97.7,84.5,144,"2020","July","2020 Wet Season",0.0419086284236982,2.21577265486121,2.21616894463555,606360,0.315781048909083
"61","61_172.215","F",131.3,113.8,255,"2020","July","2020 Wet Season",3.47338474832941,2.15086710406467,4.08541685869079,606720,0.581784046332549
"63","63_172.043","F",131.4,117.1,287,"2020","July","2020 Wet Season",-13.6523315986269,4.69140966190025,14.4359094862304,606960,2.05493373469472
"32","32_172.454","J",77.1,63.9,77,"2020","July","2020 Wet Season",-13.6523315986269,4.69140966190025,14.4359094862304,606120,2.05778159376082
"62","62_172.325","J",93.5,89.2,111,"2020","July","2020 Wet Season",-13.6523315986269,4.69140966190025,14.4359094862304,606600,2.05615327993787
"37","37_173.415","F",127.7,108.8,261,"2020","August","2020 Wet Season",-12.1203342659865,-5.31225106585771,13.2333863431078,296400,3.85750533078446
"24","24_172.254","F",127,111.7,261,"2020","August","2020 Wet Season",-1.80472029413795,-4.39900379581377,4.75481332290315,296220,1.38686068158407
"23","23_172.476","J",89,74.7,87,"2020","August","2020 Wet Season",-12.1515807761461,-6.41993592400104,13.7432344310749,296040,4.01099667222292
"47","47_172.005","M",111.9,94.4,175,"2020","August","2020 Wet Season",-34.8771731606103,-117.926718907896,122.976128740732,312540,33.9960885749001
"30","30_172.33","J",105.4,86.4,132,"2020","August","2020 Wet Season",-22.3936789033469,-2.90143452351913,22.5808586444464,295320,6.60634629175191
